id_loan,loan_identifier
F99Q20201011,1902SCRT00148
F99Q20201318,2002SCRT00181
F99Q20201410,1803SCRT00184
F99Q20201868,2002SCRT00182
F99Q20202314,2003SLST00089
F99Q20202479,2501SCRT00565
F99Q20203202,1802SLST00014
F99Q20203737,2102SCRT00273
F99Q20204981,1801SCRT00529
F99Q20208697,2202SLST00046
F99Q20209758,2301SCRT00155
F99Q20210984,2103SCRT00098
F99Q20212516,2003SCRT00292
F99Q20214164,1903SCRT00388
F99Q20214592,2101SLST00284
F99Q20214689,2001SCRT00269
F99Q20216933,2101SLST00285
F99Q20227796,1801SCRT00596
F99Q20228265,1903SCRT00389
F99Q20231175,1802SLST01760
F99Q20231889,2402SCRT00467
F99Q20236975,2101SCRT00495
F99Q20240698,2102SCRT00294
F99Q20241861,2402SCRT00468
F99Q20243589,2102SCRT00316
F99Q20244083,1804SCRT00190
F99Q20244247,2103SCRT00107
F99Q20247447,2001SLST00241
F99Q20247710,1902SCRT00162
F99Q20247977,2101SCRT00582
F99Q20248874,2101SCRT00583
F99Q20250155,2001SLST00242
F99Q20250374,1804SCRT00194
F99Q20250630,2101SCRT00585
F99Q20251030,1901SCRT00184
F99Q20251535,1903SCRT00460
F99Q20251603,1901SLST00211
F99Q20252148,2402SCRT00482
F99Q20252316,1803SCRT00205
F99Q20253492,2002SLST00275
F99Q20253532,2001SCRT00324
F99Q20256617,2001SLST00244
F99Q20257248,1803SCRT00209
F99Q20257697,2003SCRT00325
F99Q20257779,2201SLST00098
F99Q20258524,1801SCRT00711
F99Q20260505,2102SCRT00333
F99Q20261899,1703SCRT00073
F99Q20262512,2201SLST00100
F99Q20262576,2102SCRT00337
F99Q20263081,1904SCRT00296
F99Q20263879,2401SLST00189
F99Q20264423,2201SCRT00249
F99Q20265444,2002SCRT00227
F99Q20265715,1901SLST00217
F99Q20266139,2001SCRT00327
F99Q20266206,2103SCRT00113
F99Q20269618,1802SLST02052
F99Q20272965,1903SCRT00461
F99Q20273213,2001SLST00248
F99Q20275626,2002SCRT00235
F99Q20285781,1804SCRT00450
F99Q20288755,2101SCRT01070
F99Q20288900,1903SLST00613
F99Q20290718,1901SLST00567
F99Q20291312,2202SCRT00244
F99Q20292088,2003SCRT00860
F99Q20292237,1801SCRT01500
F99Q20292802,1804SCRT00652
F99Q20294505,2002SCRT00657
F99Q20294574,2101SCRT01307
F99Q20295064,2002SLST00703
F99Q20297078,2102SCRT00770
F99Q20297672,1704SCRT00551
